id,question,correct,wrong1,wrong2,wrong3,category
1,介護予防・日常生活総合事業を規定する法律は？,介護保険法,母子保健法,労働安全衛生法,健康増進法,法律
2,管理栄養士・栄養士の免許を規定する法律は？,栄養士法,地域保健法,学校保健安全法,食育基本法,法律
3,特定健康診査・特定保健指導を規定する法律は？,高齢者の医療の確保に関する法律,児童福祉法,介護保険法,食品衛生法,法律
4,健康増進事業実施者を規定する法律は？,健康増進法,栄養士法,労働安全衛生法,母子保健法,法律
5,受動喫煙の防止を規定する法律は？,健康増進法,食育基本法,地域保健法,学校保健安全法,法律
6,特別用途食品・保健機能食品を規定する法律は？,健康増進法,食品衛生法,食品表示法,栄養士法,法律
7,栄養表示基準を規定する法律は？,健康増進法,食品安全基本法,食品表示法,食育基本法,法律
8,国民健康・栄養調査を規定する法律は？,健康増進法,地域保健法,母子保健法,児童福祉法,法律
9,食育推進基本計画を規定する法律は？,食育基本法,健康増進法,学校保健安全法,栄養士法,法律
10,学校における食育の推進を規定する法律は？,食育基本法,学校保健安全法,児童福祉法,食品衛生法,法律
11,健康日本21を規定する法律は？,健康増進法,地域保健法,高齢者の医療の確保に関する法律,食育基本法,法律
12,乳幼児の栄養指導を規定する法律は？,母子保健法,児童福祉法,学校保健安全法,健康増進法,法律
13,妊産婦の栄養指導を規定する法律は？,母子保健法,健康増進法,地域保健法,食育基本法,法律
14,学校給食の実施を規定する法律は？,学校給食法,学校保健安全法,食育基本法,児童福祉法,法律
15,学校給食摂取基準を規定する法律は？,学校給食法,栄養士法,健康増進法,食育基本法,法律
16,栄養教諭を規定する法律は？,学校給食法,学校保健安全法,食育基本法,栄養士法,法律
17,保育所における食事の提供を規定する法律は？,児童福祉法,母子保健法,学校給食法,健康増進法,法律
18,労働者の健康診断を規定する法律は？,労働安全衛生法,健康増進法,高齢者の医療の確保に関する法律,地域保健法,法律
19,労働者の栄養改善を規定する法律は？,労働安全衛生法,健康増進法,食育基本法,栄養士法,法律
20,保健所の設置を規定する法律は？,地域保健法,健康増進法,母子保健法,食品衛生法,法律
21,市町村保健センターの設置を規定する法律は？,地域保健法,健康増進法,介護保険法,母子保健法,法律
22,地域保健対策の推進を規定する法律は？,地域保健法,健康増進法,高齢者の医療の確保に関する法律,食育基本法,法律
23,食品の安全性の確保を規定する法律は？,食品安全基本法,食品衛生法,食品表示法,健康増進法,法律
24,食品添加物の使用基準を規定する法律は？,食品衛生法,食品安全基本法,食品表示法,健康増進法,法律
25,HACCP（ハサップ）を規定する法律は？,食品衛生法,食品安全基本法,食品表示法,食育基本法,法律
26,食品の表示基準を規定する法律は？,食品表示法,食品衛生法,健康増進法,食品安全基本法,法律
27,アレルギー表示を規定する法律は？,食品表示法,食品衛生法,食品安全基本法,健康増進法,法律
28,栄養成分表示を規定する法律は？,食品表示法,健康増進法,食品衛生法,栄養士法,法律
29,機能性表示食品を規定する法律は？,食品表示法,健康増進法,食品衛生法,食品安全基本法,法律
30,医療保険制度を規定する法律は？,高齢者の医療の確保に関する法律,健康増進法,介護保険法,地域保健法,法律
31,後期高齢者医療制度を規定する法律は？,高齢者の医療の確保に関する法律,介護保険法,健康増進法,母子保健法,法律
32,メタボリックシンドロームの予防を規定する法律は？,高齢者の医療の確保に関する法律,健康増進法,食育基本法,栄養士法,法律
33,介護サービスの提供を規定する法律は？,介護保険法,高齢者の医療の確保に関する法律,地域保健法,健康増進法,法律
34,介護予防サービスを規定する法律は？,介護保険法,高齢者の医療の確保に関する法律,健康増進法,地域保健法,法律
35,地域包括支援センターを規定する法律は？,介護保険法,地域保健法,高齢者の医療の確保に関する法律,母子保健法,法律
36,障害者の自立支援を規定する法律は？,障害者総合支援法,児童福祉法,介護保険法,母子保健法,法律
37,障害福祉サービスを規定する法律は？,障害者総合支援法,介護保険法,地域保健法,健康増進法,法律
38,生活困窮者の自立支援を規定する法律は？,生活困窮者自立支援法,生活保護法,障害者総合支援法,介護保険法,法律
39,生活保護制度を規定する法律は？,生活保護法,生活困窮者自立支援法,障害者総合支援法,児童福祉法,法律
40,最低生活費を規定する法律は？,生活保護法,生活困窮者自立支援法,健康増進法,労働安全衛生法,法律
41,児童虐待の防止を規定する法律は？,児童虐待の防止等に関する法律,児童福祉法,母子保健法,学校保健安全法,法律
42,児童相談所を規定する法律は？,児童福祉法,児童虐待の防止等に関する法律,母子保健法,学校保健安全法,法律
43,児童手当を規定する法律は？,児童手当法,児童福祉法,母子保健法,生活保護法,法律
44,母子健康手帳を規定する法律は？,母子保健法,児童福祉法,健康増進法,地域保健法,法律
45,妊婦健康診査を規定する法律は？,母子保健法,健康増進法,地域保健法,児童福祉法,法律
46,乳幼児健康診査を規定する法律は？,母子保健法,児童福祉法,健康増進法,学校保健安全法,法律
47,学校保健計画を規定する法律は？,学校保健安全法,学校給食法,食育基本法,健康増進法,法律
48,児童生徒の健康診断を規定する法律は？,学校保健安全法,母子保健法,健康増進法,学校給食法,法律
49,学校医・学校歯科医を規定する法律は？,学校保健安全法,学校給食法,健康増進法,地域保健法,法律
50,感染症の予防を規定する法律は？,感染症の予防及び感染症の患者に対する医療に関する法律,健康増進法,地域保健法,学校保健安全法,法律
51,予防接種を規定する法律は？,予防接種法,感染症の予防及び感染症の患者に対する医療に関する法律,母子保健法,健康増進法,法律
52,定期予防接種を規定する法律は？,予防接種法,感染症の予防及び感染症の患者に対する医療に関する法律,学校保健安全法,地域保健法,法律
53,結核の予防を規定する法律は？,感染症の予防及び感染症の患者に対する医療に関する法律,健康増進法,地域保健法,労働安全衛生法,法律
54,医師・歯科医師・薬剤師の免許を規定する法律は？,医師法・歯科医師法・薬剤師法,栄養士法,保健師助産師看護師法,健康増進法,法律
55,医療施設の開設を規定する法律は？,医療法,地域保健法,健康増進法,介護保険法,法律
56,病院・診療所の定義を規定する法律は？,医療法,健康増進法,高齢者の医療の確保に関する法律,介護保険法,法律
57,医療計画を規定する法律は？,医療法,地域保健法,健康増進法,高齢者の医療の確保に関する法律,法律
58,保健師・助産師・看護師の免許を規定する法律は？,保健師助産師看護師法,栄養士法,医師法,地域保健法,法律
59,保健師の業務を規定する法律は？,保健師助産師看護師法,地域保健法,健康増進法,母子保健法,法律
60,薬局の開設を規定する法律は？,薬機法（医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律）,薬剤師法,食品衛生法,健康増進法,法律
61,医薬品の製造販売を規定する法律は？,薬機法（医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律）,薬剤師法,食品衛生法,食品安全基本法,法律
62,たばこ事業を規定する法律は？,たばこ事業法,健康増進法,食品衛生法,労働安全衛生法,法律
63,アルコール健康障害対策を規定する法律は？,アルコール健康障害対策基本法,健康増進法,精神保健及び精神障害者福祉に関する法律,地域保健法,法律
64,精神保健福祉を規定する法律は？,精神保健及び精神障害者福祉に関する法律,障害者総合支援法,健康増進法,地域保健法,法律
65,がん対策を規定する法律は？,がん対策基本法,健康増進法,高齢者の医療の確保に関する法律,地域保健法,法律
66,がん検診を規定する法律は？,健康増進法,がん対策基本法,高齢者の医療の確保に関する法律,地域保健法,法律
67,歯科口腔保健の推進を規定する法律は？,歯科口腔保健の推進に関する法律,健康増進法,母子保健法,学校保健安全法,法律
68,健診・人間ドックの受診状況を調査する統計は？,国民生活基礎調査,国民健康・栄養調査,患者調査,受療行動調査,統計調査
69,世帯の所得状況を調査する統計は？,国民生活基礎調査,家計調査,全国家計構造調査,国勢調査,統計調査
70,介護の状況を調査する統計は？,国民生活基礎調査,介護サービス施設・事業所調査,社会福祉施設等調査,患者調査,統計調査
71,世帯数・世帯人員を調査する統計は？,国民生活基礎調査,国勢調査,人口動態統計,全国家計構造調査,統計調査
72,食品の摂取状況を調査する統計は？,国民健康・栄養調査,国民生活基礎調査,食料需給表,食品ロス統計,統計調査
73,BMI・肥満の状況を調査する統計は？,国民健康・栄養調査,国民生活基礎調査,学校保健統計調査,患者調査,統計調査
74,食塩摂取量を調査する統計は？,国民健康・栄養調査,国民生活基礎調査,食料需給表,家計調査,統計調査
75,生活習慣病のリスク因子を調査する統計は？,国民健康・栄養調査,患者調査,国民生活基礎調査,特定健康診査・特定保健指導の実施状況,統計調査
76,出生数・死亡数を調査する統計は？,人口動態統計,国勢調査,国民生活基礎調査,患者調査,統計調査
77,死因別死亡数を調査する統計は？,人口動態統計,患者調査,国民生活基礎調査,医療施設調査,統計調査
78,合計特殊出生率を調査する統計は？,人口動態統計,国勢調査,国民生活基礎調査,母子保健統計,統計調査
79,乳児死亡率を調査する統計は？,人口動態統計,母子保健統計,国民生活基礎調査,医療施設調査,統計調査
80,人口・世帯の構成を調査する統計は？,国勢調査,人口動態統計,国民生活基礎調査,住宅・土地統計調査,統計調査
81,就業者数・失業率を調査する統計は？,国勢調査,労働力調査,就業構造基本調査,賃金構造基本統計調査,統計調査
82,産業別就業者数を調査する統計は？,国勢調査,労働力調査,就業構造基本統計調査,経済センサス,統計調査
83,外来患者数・入院患者数を調査する統計は？,患者調査,医療施設調査,受療行動調査,国民生活基礎調査,統計調査
84,傷病別患者数を調査する統計は？,患者調査,人口動態統計,国民生活基礎調査,医療施設調査,統計調査
85,受療率を調査する統計は？,患者調査,医療施設調査,受療行動調査,国民生活基礎調査,統計調査
86,病院数・診療所数を調査する統計は？,医療施設調査,患者調査,病院報告,社会福祉施設等調査,統計調査
87,病床数を調査する統計は？,医療施設調査,病院報告,患者調査,介護サービス施設・事業所調査,統計調査
88,医師数・歯科医師数・薬剤師数を調査する統計は？,医師・歯科医師・薬剤師統計,衛生行政報告例,医療施設調査,国民生活基礎調査,統計調査
89,看護師数を調査する統計は？,衛生行政報告例,医師・歯科医師・薬剤師統計,医療施設調査,社会福祉施設等調査,統計調査
90,栄養士・管理栄養士の登録数を調査する統計は？,衛生行政報告例,医師・歯科医師・薬剤師統計,社会福祉施設等調査,国民生活基礎調査,統計調査
91,保健所数・保健センター数を調査する統計は？,衛生行政報告例,地域保健・健康増進事業報告,医療施設調査,社会福祉施設等調査,統計調査
92,食中毒発生状況を調査する統計は？,食中毒統計,衛生行政報告例,感染症発生動向調査,患者調査,統計調査
93,感染症の発生状況を調査する統計は？,感染症発生動向調査,食中毒統計,衛生行政報告例,人口動態統計,統計調査
94,結核の罹患率を調査する統計は？,感染症発生動向調査,衛生行政報告例,患者調査,国民生活基礎調査,統計調査
95,がん検診の受診率を調査する統計は？,地域保健・健康増進事業報告,国民生活基礎調査,衛生行政報告例,患者調査,統計調査
96,特定健診・特定保健指導の実施状況を調査する統計は？,特定健康診査・特定保健指導の実施状況,地域保健・健康増進事業報告,国民生活基礎調査,国民健康・栄養調査,統計調査
97,介護保険施設数を調査する統計は？,介護サービス施設・事業所調査,社会福祉施設等調査,医療施設調査,衛生行政報告例,統計調査
98,介護保険サービスの利用者数を調査する統計は？,介護サービス施設・事業所調査,介護給付費等実態統計,国民生活基礎調査,社会福祉施設等調査,統計調査
99,保育所数・児童福祉施設数を調査する統計は？,社会福祉施設等調査,介護サービス施設・事業所調査,衛生行政報告例,地域保健・健康増進事業報告,統計調査
100,身長・体重の平均値を調査する統計は？,学校保健統計調査,国民健康・栄養調査,国民生活基礎調査,体力・運動能力調査,統計調査
101,学齢期の肥満・痩身の状況を調査する統計は？,学校保健統計調査,国民健康・栄養調査,母子保健統計,体力・運動能力調査,統計調査
102,むし歯・歯肉の状況を調査する統計は？,学校保健統計調査,国民健康・栄養調査,患者調査,歯科疾患実態調査,統計調査
103,世帯の収入・支出を調査する統計は？,家計調査,国民生活基礎調査,全国家計構造調査,消費動向調査,統計調査
104,食料費の支出額を調査する統計は？,家計調査,全国家計構造調査,国民生活基礎調査,食料需給表,統計調査
105,エンゲル係数を算出する統計は？,家計調査,全国家計構造調査,国民生活基礎調査,消費動向調査,統計調査
106,食料自給率を算出する統計は？,食料需給表,食品ロス統計,家計調査,農林業センサス,統計調査
107,食料消費量を調査する統計は？,食料需給表,国民健康・栄養調査,家計調査,食品ロス統計,統計調査
108,食品ロスの量を調査する統計は？,食品ロス統計,食料需給表,家計調査,国民健康・栄養調査,統計調査
109,世帯の資産・負債を調査する統計は？,全国家計構造調査,家計調査,国民生活基礎調査,消費動向調査,統計調査
110,健康増進の基本方針の策定を行うのは？,厚生労働大臣,都道府県知事,市町村長,保健所長,実施主体
111,特別用途食品の許可を行うのは？,消費者庁長官,厚生労働大臣,都道府県知事,市町村長,実施主体
112,国民健康・栄養調査の実施を行うのは？,厚生労働大臣,都道府県知事,市町村長,保健所長,実施主体
113,都道府県健康増進計画の策定を行うのは？,都道府県,厚生労働大臣,市町村,保健所,実施主体
114,市町村健康増進計画の策定を行うのは？,市町村,都道府県,厚生労働大臣,保健所,実施主体
115,健康増進事業の実施を行うのは？,市町村,都道府県,厚生労働大臣,保健所,実施主体
116,特定給食施設の届出先は？,保健所長,市町村長,都道府県知事,厚生労働大臣,実施主体
117,特定給食施設の指導を行うのは？,都道府県知事・保健所設置市長・特別区長,厚生労働大臣,市町村長,保健所長,実施主体
118,受動喫煙防止対策の推進を行うのは？,国・都道府県・市町村・施設管理者,厚生労働大臣,保健所長,都道府県知事,実施主体